ItemCode,UOM,IBMS ItemName,ItemType,Section,Name,Secoundry Pack Selling Net Rate to Retailers Including Tax - Round 
FG000008,E-BOX,6013-SB-10-WOT,AWR-EMRK-PL-D-021,Welding Electrodes-E6013,3.15 X 350MM (WOT),2700
FG000307,E-BOX,6013-SB-10-WT,AWR-EMRK-PL-D-011,Welding Electrodes-E6013,3.15 X 350MM (WT),2740
FG000003,E-BOX,6013-SB-12-WOT,AWR-EMRK-PL-D-021,Welding Electrodes-E6013,2.50 X 350MM (WOT),2980
FG000310,E-BOX,6013-SB-12-WT,AWR-EMRK-PL-D-011,Welding Electrodes-E6013,2.50 X 350MM (WT),3020
FG000002,E-BOX,6013-SB-14-WOT,AWR-EMRK-PL-D-057,Welding Electrodes-E6013,2.00 X 300MM (WOT),3260
FG000001,E-BOX,6013-SB-16-WOT,AWR-EMRK-PL-D-057,Welding Electrodes-E6013,1.60 X 250MM (WOT),3260
FG000006,E-BOX,6013-SB-6-WOT,AWR-EMRK-PL-D-021,Welding Electrodes-E6013,5.00 X 450MM (WOT),3380
FG000011,E-BOX,6013-SB-8-WOT,AWR-EMRK-PL-D-021,Welding Electrodes-E6013,4.00 X 450MM (WOT),3260
FG000309,E-BOX,6013-SB-8-WT,AWR-EMRK-PL-D-011,Welding Electrodes-E6013,4.00 X 450MM (WT),3300
FG000050,E-BOX,6013SS-10-WOT,AWR-EMRK-PL-D-051,Welding Electrodes-E6013SS,3.15 X 350MM (WOT),2700
FG000046,E-BOX,6013SS-12-WOT,AWR-EMRK-PL-D-051,Welding Electrodes-E6013SS,2.50 X 350MM (WOT),2980
FG000066,E-BOX,6013SS-6-WOT,AWR-EMRK-PL-D-051,Welding Electrodes-E6013SS,5.00 X 450MM (WOT),3380
FG000062,E-BOX,6013SS-8-WOT,AWR-EMRK-PL-D-051,Welding Electrodes-E6013SS,4.00 X 450MM (WOT),3260
